cus_id_no,prim_acc_no,acc_opened_dt,acc_closed_dt,acc_link_created_dt,acc_link_end_dt,data_source_cde,data_source_ctry,created_dt
20793890636,5435862105,1991-06-24T00:00:00.000+00:00,2005-08-26T00:00:00.000+00:00,1991-06-24T00:00:00.000+00:00,2005-08-26T00:00:00.000+00:00,CUST ACCT LINK,GB,1991-06-24T00:00:00.000+00:00
13058598188,24735169320,1990-12-05T00:00:00.000+00:00,2000-11-14T00:00:00.000+00:00,1990-12-05T00:00:00.000+00:00,2000-11-14T00:00:00.000+00:00,CUST ACCT LINK,AU,1990-12-05T00:00:00.000+00:00
83002526851,27603126730,1998-11-21T00:00:00.000+00:00,,1998-11-21T00:00:00.000+00:00,,CUST ACCT LINK,NL,1998-11-21T00:00:00.000+00:00
24423737774,39573733213,2006-04-21T00:00:00.000+00:00,,2006-04-21T00:00:00.000+00:00,,CUST ACCT LINK,ZA,2006-04-21T00:00:00.000+00:00
98611336247,41156217812,2009-10-10T00:00:00.000+00:00,,2009-10-10T00:00:00.000+00:00,,CUST ACCT LINK,AU,2009-10-10T00:00:00.000+00:00
53552576304,46142015057,1999-09-07T00:00:00.000+00:00,2006-07-15T00:00:00.000+00:00,1999-09-07T00:00:00.000+00:00,2006-07-15T00:00:00.000+00:00,CUST ACCT LINK,US,1999-09-07T00:00:00.000+00:00
63391008992,46757409133,1991-12-03T00:00:00.000+00:00,2000-08-18T00:00:00.000+00:00,1991-12-03T00:00:00.000+00:00,2000-08-18T00:00:00.000+00:00,CUST ACCT LINK,AU,1991-12-03T00:00:00.000+00:00
90579024869,51920973303,1991-05-11T00:00:00.000+00:00,1995-03-02T00:00:00.000+00:00,1991-05-11T00:00:00.000+00:00,1995-03-02T00:00:00.000+00:00,CUST ACCT LINK,AU,1991-05-11T00:00:00.000+00:00
18785114679,146504598804,1992-08-12T00:00:00.000+00:00,2001-08-23T00:00:00.000+00:00,1992-08-12T00:00:00.000+00:00,2001-08-23T00:00:00.000+00:00,CUST ACCT LINK,US,1992-08-12T00:00:00.000+00:00
95815123324,169013008690,1996-03-11T00:00:00.000+00:00,2009-04-09T00:00:00.000+00:00,1996-03-11T00:00:00.000+00:00,2009-04-09T00:00:00.000+00:00,CUST ACCT LINK,CH,1996-03-11T00:00:00.000+00:00
19186648171,176449714951,1998-03-08T00:00:00.000+00:00,2008-12-06T00:00:00.000+00:00,1998-03-08T00:00:00.000+00:00,2008-12-06T00:00:00.000+00:00,CUST ACCT LINK,US,1998-03-08T00:00:00.000+00:00
75260252104,207125323554,1999-03-24T00:00:00.000+00:00,,1999-03-24T00:00:00.000+00:00,,CUST ACCT LINK,NL,1999-03-24T00:00:00.000+00:00
93744907258,219840321630,2008-02-02T00:00:00.000+00:00,,2008-02-02T00:00:00.000+00:00,,CUST ACCT LINK,US,2008-02-02T00:00:00.000+00:00
14924775531,246971983201,2001-09-14T00:00:00.000+00:00,,2001-09-14T00:00:00.000+00:00,,CUST ACCT LINK,PT,2001-09-14T00:00:00.000+00:00
92123686707,278767778954,2000-11-17T00:00:00.000+00:00,,2000-11-17T00:00:00.000+00:00,,CUST ACCT LINK,US,2000-11-17T00:00:00.000+00:00
71744013456,309444614178,1990-02-07T00:00:00.000+00:00,1992-03-07T00:00:00.000+00:00,1990-02-07T00:00:00.000+00:00,1992-03-07T00:00:00.000+00:00,CUST ACCT LINK,CA,1990-02-07T00:00:00.000+00:00
33231091581,351382734891,1997-06-16T00:00:00.000+00:00,2001-09-13T00:00:00.000+00:00,1997-06-16T00:00:00.000+00:00,2001-09-13T00:00:00.000+00:00,CUST ACCT LINK,NO,1997-06-16T00:00:00.000+00:00
55148187836,386878437427,1996-09-20T00:00:00.000+00:00,2003-05-07T00:00:00.000+00:00,1996-09-20T00:00:00.000+00:00,2003-05-07T00:00:00.000+00:00,CUST ACCT LINK,AU,1996-09-20T00:00:00.000+00:00
84345728507,391925501714,1990-03-09T00:00:00.000+00:00,2003-03-07T00:00:00.000+00:00,1990-03-09T00:00:00.000+00:00,2003-03-07T00:00:00.000+00:00,CUST ACCT LINK,US,1990-03-09T00:00:00.000+00:00
73511727163,413059589707,2008-12-10T00:00:00.000+00:00,,2008-12-10T00:00:00.000+00:00,,CUST ACCT LINK,AU,2008-12-10T00:00:00.000+00:00
60673173038,441240129835,1994-03-18T00:00:00.000+00:00,2000-08-17T00:00:00.000+00:00,1994-03-18T00:00:00.000+00:00,2000-08-17T00:00:00.000+00:00,CUST ACCT LINK,BE,1994-03-18T00:00:00.000+00:00
4155642060,492958910648,1992-01-05T00:00:00.000+00:00,2007-12-09T00:00:00.000+00:00,1992-01-05T00:00:00.000+00:00,2007-12-09T00:00:00.000+00:00,CUST ACCT LINK,AU,1992-01-05T00:00:00.000+00:00
57759137561,596492768964,1993-12-06T00:00:00.000+00:00,,1993-12-06T00:00:00.000+00:00,,CUST ACCT LINK,US,1993-12-06T00:00:00.000+00:00
89450020858,606200520394,1995-02-18T00:00:00.000+00:00,2002-06-05T00:00:00.000+00:00,1995-02-18T00:00:00.000+00:00,2002-06-05T00:00:00.000+00:00,CUST ACCT LINK,GB,1995-02-18T00:00:00.000+00:00
16091593520,620234524950,1990-11-19T00:00:00.000+00:00,2006-04-02T00:00:00.000+00:00,1990-11-19T00:00:00.000+00:00,2006-04-02T00:00:00.000+00:00,CUST ACCT LINK,GB,1990-11-19T00:00:00.000+00:00
2129171262,637228117780,2006-03-06T00:00:00.000+00:00,,2006-03-06T00:00:00.000+00:00,,CUST ACCT LINK,IT,2006-03-06T00:00:00.000+00:00
32316968209,663959094844,2009-11-10T00:00:00.000+00:00,,2009-11-10T00:00:00.000+00:00,,CUST ACCT LINK,ES,2009-11-10T00:00:00.000+00:00
75059667330,665435169006,2007-05-07T00:00:00.000+00:00,,2007-05-07T00:00:00.000+00:00,,CUST ACCT LINK,US,2007-05-07T00:00:00.000+00:00
55090070298,666710921368,1998-03-11T00:00:00.000+00:00,2002-09-06T00:00:00.000+00:00,1998-03-11T00:00:00.000+00:00,2002-09-06T00:00:00.000+00:00,CUST ACCT LINK,US,1998-03-11T00:00:00.000+00:00
84692754439,689291565262,2009-08-19T00:00:00.000+00:00,,2009-08-19T00:00:00.000+00:00,,CUST ACCT LINK,BE,2009-08-19T00:00:00.000+00:00
11833495142,692462952578,2004-09-16T00:00:00.000+00:00,,2004-09-16T00:00:00.000+00:00,,CUST ACCT LINK,US,2004-09-16T00:00:00.000+00:00
20732920027,711762984880,2006-01-12T00:00:00.000+00:00,,2006-01-12T00:00:00.000+00:00,,CUST ACCT LINK,US,2006-01-12T00:00:00.000+00:00
48638855225,747818531104,2005-01-17T00:00:00.000+00:00,,2005-01-17T00:00:00.000+00:00,,CUST ACCT LINK,AU,2005-01-17T00:00:00.000+00:00
99404271632,762892087998,1992-10-06T00:00:00.000+00:00,,1992-10-06T00:00:00.000+00:00,,CUST ACCT LINK,US,1992-10-06T00:00:00.000+00:00
35189973815,797268207042,2009-07-17T00:00:00.000+00:00,,2009-07-17T00:00:00.000+00:00,,CUST ACCT LINK,AU,2009-07-17T00:00:00.000+00:00
2648818581,816119612707,2002-09-10T00:00:00.000+00:00,,2002-09-10T00:00:00.000+00:00,,CUST ACCT LINK,US,2002-09-10T00:00:00.000+00:00
57730748167,835395708857,1998-09-22T00:00:00.000+00:00,,1998-09-22T00:00:00.000+00:00,,CUST ACCT LINK,DE,1998-09-22T00:00:00.000+00:00
41347465315,867269952972,1998-07-02T00:00:00.000+00:00,,1998-07-02T00:00:00.000+00:00,,CUST ACCT LINK,GB,1998-07-02T00:00:00.000+00:00
21408769746,979433318751,2008-01-21T00:00:00.000+00:00,,2008-01-21T00:00:00.000+00:00,,CUST ACCT LINK,US,2008-01-21T00:00:00.000+00:00
40436906092,980787792441,1995-01-07T00:00:00.000+00:00,1995-01-15T00:00:00.000+00:00,1995-01-07T00:00:00.000+00:00,1995-01-15T00:00:00.000+00:00,CUST ACCT LINK,US,1995-01-07T00:00:00.000+00:00
82822092554,1109744021558,2009-05-27T00:00:00.000+00:00,,2009-05-27T00:00:00.000+00:00,,CUST ACCT LINK,ZA,2009-05-27T00:00:00.000+00:00
15285869836,1131557930396,1992-01-19T00:00:00.000+00:00,2007-02-20T00:00:00.000+00:00,1992-01-19T00:00:00.000+00:00,2007-02-20T00:00:00.000+00:00,CUST ACCT LINK,AU,1992-01-19T00:00:00.000+00:00
97533632481,1167422108551,2000-01-06T00:00:00.000+00:00,,2000-01-06T00:00:00.000+00:00,,CUST ACCT LINK,US,2000-01-06T00:00:00.000+00:00
38549379143,1201076744724,2006-03-25T00:00:00.000+00:00,,2006-03-25T00:00:00.000+00:00,,CUST ACCT LINK,AU,2006-03-25T00:00:00.000+00:00
71157978838,1243570353946,2002-03-16T00:00:00.000+00:00,,2002-03-16T00:00:00.000+00:00,,CUST ACCT LINK,AU,2002-03-16T00:00:00.000+00:00
80241108847,1251249660564,1999-07-02T00:00:00.000+00:00,2009-10-20T00:00:00.000+00:00,1999-07-02T00:00:00.000+00:00,2009-10-20T00:00:00.000+00:00,CUST ACCT LINK,US,1999-07-02T00:00:00.000+00:00
96477527886,1272451972859,1998-01-27T00:00:00.000+00:00,1998-04-08T00:00:00.000+00:00,1998-01-27T00:00:00.000+00:00,1998-04-08T00:00:00.000+00:00,CUST ACCT LINK,CA,1998-01-27T00:00:00.000+00:00
