prim_acc_no,composite_acc_name,consolidated_acc_address,acc_stat,acc_district,rel_mngr_name,raw_acc_name,acc_opened_dt,acc_closed_dt,addr_line_one,city,state,postal_cde,ctry,acc_risk_rtng,aml_alr_flg,sar_count,tel_no
11374124009434,Jackhammer Technologies R.L,"Avenida Sacadura Cabral 72, Pontinha, Lisboa, 1675-240",Active,Pontinha,TARSHA DELLEN,Jackhammer Technologies R.L,,,Avenida Sacadura Cabral 72,Pontinha,Lisboa,1675-240,PT,2066,f,,21 217 458 1595
12600877986116,Indiewealth Agricultural,"65 Nerrigundah Drive, BLIND BIGHT, VIC, 3980",Active,BLIND BIGHT,,Indiewealth Agricultural,,,65 Nerrigundah Drive,BLIND BIGHT,VIC,3980,AU,2952,f,,(03) 9695 8803
19804052681942,Littler's Ek.,"88 Berambing Crescent, LAPSTONE, NSW, 2773",Active,LAPSTONE,,Littler's Ek.,,,88 Berambing Crescent,LAPSTONE,NSW,2773,AU,6775,f,,(02) 4783 9956
20473511287516,Stratapro Imports PLC,"2399 Mulberry Lane, West Palm Be, FL, 33401",Active,West Palm Be,,Stratapro Imports PLC,,,2399 Mulberry Lane,West Palm Be,FL,33401,US,8873,f,,561-804-7959
24289181260307,JUSTIN BIRCHELL,"9 Quayside Vista, WATSON, ACT, 2602",Active,WATSON,ZACHARIAH VLASAK,JUSTIN BIRCHELL,,,9 Quayside Vista,WATSON,ACT,2602,AU,8191,f,,(02) 6173 4172
26860645861523,Netcore Imports VOF,"Piazzetta Scalette Rubiani 114, Salento, SA, 84070",Active,Salento,,Netcore Imports VOF,,,Via Goffredo Mameli 139,Salento,RI,2030,IT,7689,f,,0357 6904115
42470589905963,OROSCO MATA,"R Combatentes G Guerra 98, Casal da Rob, Coimbra, 3080-399",Active,Casal da Rob,,OROSCO MATA,,,R Combatentes G Guerra 98,Casal da Rob,Coimbra,3080-399,PT,9349,f,,21 239 454 4855
49079736008857,Fireball Imports KGaA,"2971 Courtright Street, York, ND, 58386",Active,York,FANNIE MARTER,Fireball Imports KGaA,,,2971 Courtright Street,York,ND,58386,US,3353,f,,701-592-9885
53068081178209,Parklane Hosiery Imports Corp,"4856 Nelson Street, Wawa, ON, P0S 1K0",Active,Wawa,FLOR RULON,Parklane Hosiery Imports Corp,,,4856 Nelson Street,Wawa,ON,P0S 1K0,CA,7017,f,,705-856-6535
55220455725463,Hughes Markets Imports VOF,"Gerbiweg 35, Buch bei Fra, 8524",Active,Buch bei Fra,KOURTNEY DONAWAY,Hughes Markets Imports VOF,,,Gerbiweg 35,Buch bei Fra,,8524,CH,88,f,,
55916572422769,MARKO EBERSBACHE,"Kantstrasse 87, Oberasbach, BY, 90522",Active,Oberasbach,,MARKO EBERSBACHE,,,Lietzenburger Strasse 38,Oberasbach,NW,51429,DE,9104,f,,0911 57 59 93
59758162356868,LARRY LYNCH,"178 Charack Road, Sharonville, IN, 45241",Active,Sharonville,,LARRY LYNCH,,,1499 Elk Street,Sharonville,CA,92627,US,564,f,,812-290-8846
60705462277123,Omni Source Imports Co,"923 Polk Street, Tucson, AZ, 85701",Active,Tucson,KARREN PRAML,Omni Source Imports Co,,,923 Polk Street,Tucson,AZ,85701,US,9350,f,,520-981-1962
61989760414751,Clemens Markets FI,"Via Nizza 8, Orsago, TV, 31010",Active,Orsago,,Clemens Markets FI,,,Via Nizza 8,Orsago,TV,31010,IT,7148,f,,0321 4602473
63542502429106,MADDISON GADSDON,"Mollardgasse 90, TEISENECK, Upper Austria, 5272",Active,TEISENECK,MAGNOLIA WOJCIAK,MADDISON GADSDON,,,Mohrenstrasse 36,TEISENECK,BW,72532,AT,3664,f,,0676 704 02 45
67492851334812,MARY SPEAR,"2288 Impala St, Howick, KwaZulu-Natal, 3255",Active,Howick,,MARY SPEAR,,,316 Pyramid Valley Road,Howick,IA,52317,ZA,3099,f,,084 698 0748
72241509261108,ALANNAH NICKSON,"48 Mendooran Road, DUBBO WEST, NSW, 2830",Active,DUBBO WEST,,ALANNAH NICKSON,,,3 Larissa Court,DUBBO WEST,VIC,3516,AU,3047,f,,(02) 4047 6300
74537620112698,GIACOMO VAN OTTE,"Bramzeil 132, Amsterdam, NH, 1034 LC",Active,Amsterdam,ASSUNTA BEVIL,GIACOMO VAN OTTE,,,Kempenaar 51,Amsterdam,FL,8231 EW,NL,8331,f,,
1984020387141,BODI BOROSS,"6 Jones Road, WOOLLOONGABB, QLD, 4102",Active,WOOLLOONGABB,EDMUND WANDS,BODI BOROSS,,,6 Jones Road,WOOLLOONGABB,QLD,4102,AU,433,f,,(07) 3282 2473
5103164144729,REINA GARRITY,"79 Clifton Street, NOWIE, VIC, 3585",Active,NOWIE,,REINA GARRITY,,,1108 Beeghley Street,NOWIE,AL,35768,AU,6803,f,,(03) 5370 1244
10397993839513,Prestigabiz Imports Distribution,"4112 Rosewood Court, Clarks Grove, MN, 56016",Active,Clarks Grove,,Prestigabiz Imports Distribution,,,4112 Rosewood Court,Clarks Grove,MN,56016,US,8292,f,,
27435594252599,MARKO MAURER,"Semperweg 69, Bizinen, 3932",Active,Bizinen,ARLEEN NICOLAYSEN,MARKO MAURER,,,Gewerbepark 2,Bizinen,Upper Austria,4611,CH,8005,f,,027 734 29 54
29795301594937,MARION STEWART,"800 Colony Street, Stamford, CT, 06902",Active,Stamford,VERNETTA BRENSING,MARION STEWART,,,1741 Daffodil Dr,Stamford,Eastern Cape,5130,US,7506,f,,203-320-4339
35951164056831,Brand Names AK,"1141 11th Ave, Calgary, AB, T2P 1M6",Closed,Calgary,,Brand Names AK,,,1141 11th Ave,Calgary,AB,T2P 1M6,CA,7528,f,,403-218-7490
