cus_id_no,cus_stat,bus_registered_name,bus_registration_no,bus_ctry_registration,cus_start_dt,cus_end_dt,personal_bus_flg,gender,initials,forename,family_name,maiden_name,full_name,nationality,cus_risk_rtng,employee_flag,residence_ctry,consolidated_cust_address,personal_national_id_no,dt_of_birth
68326816510,A,,.,,1998-04-01T00:00:00.000+00:00,,P,M,F,Fiorenzo,Lombardo,,Fiorenzo Lombard,IT,871,f,IT,"Via San Domenico 109, Laatsch, BZ, 39020",121349980,1970-11-15
56496778619,A,,.,,2002-11-17T00:00:00.000+00:00,,P,M,E,Ernest,Austin,,Ernest Austin,GB,7850,f,GB,"50 Haslemere Road, EASTINGTON, GL54 5HB",841114497,1978-06-25
75126760828,C,,.,,1993-02-13T00:00:00.000+00:00,2004-03-22T00:00:00.000+00:00,P,F,M,Marion,Muskett,,Marion Musgrove,AU,5848,f,AU,"86 Parkes Road, WILLIAMSTOWN, VIC, 3016",870283630,
20811505615,C,,.,,1992-10-10T00:00:00.000+00:00,1997-05-11T00:00:00.000+00:00,P,M,W,Warren,van Hek,,Warren van Hek,NL,5433,f,NL,"Duivendansweg 195, Wezep, GE, 8091 PC",344445761,1977-09-15
43265070816,A,,.,,1993-02-27T00:00:00.000+00:00,,P,F,K,Kelly,Austin,,Kelly Austin,US,5229,f,US,"1769 Stone Lane, Plymouth Mee, PA, 19462",480724912,1980-12-17
54494432346,C,,.,,1990-07-03T00:00:00.000+00:00,2007-02-03T00:00:00.000+00:00,P,F,K,K,Kinney,,Kelli Kinney,US,3899,f,US,"2430 Bond Street, Providence, RI, 02905",680707826,1989-03-11
22866160098,C,Beasts of Beauty Imports Agricultural,185410378,FJ,1996-04-08T00:00:00.000+00:00,2008-02-08T00:00:00.000+00:00,B,,,,,,,,.,,CA,"2374 102nd Avenue, Dawson Creek, BC, V1G 2C4",.,
98833196562,A,,.,,2000-06-12T00:00:00.000+00:00,,P,F,S,Stephani,Winebarger,SAILORS,Stephani Winebar,ZA,988,f,ZA,"2382 Wolmarans St, Witkoppen, Gauteng, 2191",51250874,1980-05-23
48397684688,A,Polk Brothers Imports gomei-kaisha,44653,CA,2002-10-18T00:00:00.000+00:00,,B,,,,,,,,.,,CA,"1195 James Street, Hearst, ON, P0L 1N0",.,
383803416,C,,.,,1991-02-20T00:00:00.000+00:00,2005-07-15T00:00:00.000+00:00,P,F,M,Mary,Kinsey,,Mary Kinsey,US,5077,f,US,"1542 Sand Fork Road, Camden, IN, 46917",891492253,1975-07-20
42724132473,C,,.,,1994-03-14T00:00:00.000+00:00,2008-03-13T00:00:00.000+00:00,P,F,O,Olivia,Cazares,,Olivia Cazaly,ES,2863,f,ES,"Extramuros 84, Titulcia, Madrid, 28359",868964379,1985-03-12
22803957659,A,,.,,2001-02-16T00:00:00.000+00:00,,P,F,S,Sally,Ruiz,HELLWEG,Sally Ruiz,US,9906,f,US,"401 Cimmaron Road, Burbank, CA, 91505",423228510,
17828396502,C,,.,,1990-10-01T00:00:00.000+00:00,2003-07-20T00:00:00.000+00:00,P,M,F,Francis,Mercado,WILLAERT,Francis Mercado,US,3178,f,US,"2773 Clousson Road, Merrill, IA, 51038",770744776,1986-05-01
18331692697,A,Flagg Bros. Shoes Imports EE,41129796,AU,2001-07-10T00:00:00.000+00:00,,B,,,,,,,,.,,AU,"91 Railway Street, CLONTARF, QLD, 4357",.,
21933976373,C,Prahject Planner Cor,90495,NL,1990-09-01T00:00:00.000+00:00,1998-04-18T00:00:00.000+00:00,B,,,,,,,,.,,NL,"Gruitmeesterslaan 141, Zwolle, OV, 8014 CP",.,
59643053223,A,Musicland Imports Cia.,609458,US,2001-09-09T00:00:00.000+00:00,,B,,,,,,,,.,,US,"4174 Trails End Road, Fort Lauderd, FL, 33301",.,
81749023408,A,Electronics Source VOF,73551,AU,1998-05-26T00:00:00.000+00:00,,B,,,,,,,,.,,AU,"65 Benny Street, ERRIBA, TAS, 7310",.,
7876020041,A,Oshman's Imports VOF,951873,US,2002-11-01T00:00:00.000+00:00,,B,,,,,,,,.,,US,"3517 Pooz Street, Freehold, NJ, 07728",.,
2923173038,C,,.,,1994-01-05T00:00:00.000+00:00,1997-02-02T00:00:00.000+00:00,P,M,T,Thor,Isaksson,UHRMACHER,Thor Isaksson,SE,1624,f,SE,"Storgatan 4, MOHEDA, 340 36",932623687,1989-09-12
20935741380,A,Monk Home Funding Services Inc,87844156,IT,2008-02-08T00:00:00.000+00:00,,B,,,,,,,,.,,IT,"Viale delle Province 84, Paterno, CT, 95047",.,
