hotlist_id,date_added,name,address,dob,telephone
1,2010-01-09T00:00:00.000+00:00,A Romano,,,
8589934593,2008-06-02T00:00:00.000+00:00,James Olson,"2541 Hurry Street, Fredericksbu, VA, 22408",,540-272-0460
17179869185,2001-05-31T00:00:00.000+00:00,Robert Soto,"4316 Briarwood Drive, Bridgeton, NJ, 08302",,856-455-2904
42949672961,1996-10-04T00:00:00.000+00:00,Complete Tech Co,"Linieweg 163, Landelies, WLX, 6111",,0474 59 59 11
94489280513,1999-05-26T00:00:00.000+00:00,Mikki Hassi,,,06-14188556
94489280514,2003-11-09T00:00:00.000+00:00,Callum Crawford,"4147 Highland View Drive, Rocklin, CA, 95677",1970-02-28,916-632-7715
146028888065,2014-03-05T00:00:00.000+00:00,R Hockman,"13 Romines Mill Road, Dallas, TX, 75247",,214-625-0747
171798691841,1997-03-06T00:00:00.000+00:00,Kelly Jones,,1986-09-08,
180388626433,2007-02-11T00:00:00.000+00:00,John Graham,,,
180388626434,2004-10-13T00:00:00.000+00:00,Champion Auto Imports Cor,"1700 Holt Street, West Palm Be, FL, 33401",,
335007449089,1996-11-08T00:00:00.000+00:00,William Newson,"12 Kingsway North, HOLMSTON, KA7 6BQ",,070 5605 0224
395136991233,1993-04-09T00:00:00.000+00:00,Zsolt Vas,,1987-12-01,
455266533377,2011-11-24T00:00:00.000+00:00,E Lazarev,,,(03) 6211 1141
455266533378,2006-05-21T00:00:00.000+00:00,Benjamin Scott,,1974-01-16,917-817-0902
489626271745,2007-03-25T00:00:00.000+00:00,Abbondan Romano,"Via Matteo Schilizzi 138, Gorreto, GE, 16020",1989-11-13,0324 8898173
575525617665,2014-10-12T00:00:00.000+00:00,A Gerber,"Gruenauer Strasse 20, Radbruch, NI, 21449",,
618475290625,2008-12-30T00:00:00.000+00:00,J Smith,"907 Marconi St, Westonaria, Gauteng, 1787",1987-04-11,
652835028993,1992-03-02T00:00:00.000+00:00,Merrymaking Developments,"Sint Annastraat 157, Nijmegen, GE, 6525 ZJ",,06-30289046
661424963585,2002-11-16T00:00:00.000+00:00,Margaret McDonal,,,
695784701953,1993-08-05T00:00:00.000+00:00,Maddison Gadsdon,"Mohrenstrasse 36, Gomadingen, BW, 72532",1971-10-26,07385 13 59 83
704374636545,2007-09-26T00:00:00.000+00:00,Thomas Caffrey,"62 Glenpark Road, BAYLDON, NSW, 2452",,(02) 6714 1722
704374636546,2009-05-24T00:00:00.000+00:00,Angus Mullagh,"63 Fairview Street, PANMURE, VIC, 3265",,
712964571137,2009-05-02T00:00:00.000+00:00,Turner Clavette,"27 Shell Road, BARWON HEADS, VIC, 3227",1970-05-23,(03) 5396 4977
721554505729,2014-08-24T00:00:00.000+00:00,Alyssa Agaundo,"3399 Garfield Road, Peoria, IL, 61602",1977-11-18,309-648-7154
730144440321,2004-03-26T00:00:00.000+00:00,Olivia Cazaly,,1975-03-19,
738734374913,2003-02-03T00:00:00.000+00:00,Jasper Cade,"62 Halsey Road, HAYBOROUGH, SA, 5211",1980-07-24,
755914244097,2014-01-19T00:00:00.000+00:00,Samuel Connal,"71 Larissa Court, MILDURA CENT, VIC, 3501",1977-03-26,(03) 5371 7617
755914244098,2003-07-17T00:00:00.000+00:00,Zachary Gaffney,"60 Acheron Road, TRARALGON, VIC, 3844",1980-08-31,
798863917057,2009-09-22T00:00:00.000+00:00,Fiorenzo Lombard,"Via Santa Teresa 32, Priolo Garga, SR, 96010",,
841813590017,2013-03-18T00:00:00.000+00:00,Madelein Sly,"46 Wilson Street, GREDGWIN, VIC, 3537",1982-06-14,(03) 5387 3393
867583393793,2013-12-26T00:00:00.000+00:00,Albers Super Markets S.M.B.A,"780 Voortrekker St, Isipingo, KwaZulu-Natal, 4133",,082 202 5256
